state,type,date,abs,rate
W.P. Putrajaya,infant,01/01/2015,22,7.7
W.P. Putrajaya,infant,01/01/2016,21,8.2
W.P. Putrajaya,infant,01/01/2017,21,8.3
W.P. Putrajaya,infant,01/01/2018,22,9.2
W.P. Putrajaya,infant,01/01/2019,20,8.6
W.P. Putrajaya,infant,01/01/2020,14,6.5
W.P. Putrajaya,infant,01/01/2021,13,6.2
W.P. Putrajaya,infant,01/01/2022,15,8.2
Johor,toddler,01/01/2015,77,0.3
Johor,toddler,01/01/2016,91,0.4
Johor,toddler,01/01/2017,90,0.4
Johor,toddler,01/01/2018,93,0.4
Johor,toddler,01/01/2019,87,0.4
Johor,toddler,01/01/2020,58,0.2
Johor,toddler,01/01/2021,59,0.2
Johor,toddler,01/01/2022,86,0.4
Kedah,toddler,01/01/2015,47,0.3
Kedah,toddler,01/01/2016,54,0.4
Kedah,toddler,01/01/2017,53,0.4
Kedah,toddler,01/01/2018,57,0.4
Kedah,toddler,01/01/2019,57,0.4
Kedah,toddler,01/01/2020,45,0.3
Kedah,toddler,01/01/2021,28,0.2
Kedah,toddler,01/01/2022,51,0.4
Kelantan,toddler,01/01/2015,54,0.4
Kelantan,toddler,01/01/2016,69,0.4
Kelantan,toddler,01/01/2017,61,0.4
Kelantan,toddler,01/01/2018,55,0.3
Kelantan,toddler,01/01/2019,65,0.4
Kelantan,toddler,01/01/2020,50,0.4
Kelantan,toddler,01/01/2021,36,0.3
Kelantan,toddler,01/01/2022,55,0.4
Melaka,toddler,01/01/2015,22,0.4
Melaka,toddler,01/01/2016,14,0.2
Melaka,toddler,01/01/2017,19,0.3
Melaka,toddler,01/01/2018,10,0.2
Melaka,toddler,01/01/2019,18,0.3
Melaka,toddler,01/01/2020,21,0.3
Melaka,toddler,01/01/2021,14,0.2
Melaka,toddler,01/01/2022,27,0.4
Pahang,toddler,01/01/2015,26,0.4
Pahang,toddler,01/01/2016,19,0.3
Pahang,toddler,01/01/2017,31,0.4
Pahang,toddler,01/01/2018,27,0.4
Pahang,toddler,01/01/2019,26,0.4
Pahang,toddler,01/01/2020,24,0.3
Pahang,toddler,01/01/2021,14,0.2
Pahang,toddler,01/01/2022,28,0.4
Negeri Sembilan,toddler,01/01/2015,57,0.5
Negeri Sembilan,toddler,01/01/2016,50,0.4
Negeri Sembilan,toddler,01/01/2017,52,0.5
Negeri Sembilan,toddler,01/01/2018,47,0.4
Negeri Sembilan,toddler,01/01/2019,51,0.5
Negeri Sembilan,toddler,01/01/2020,31,0.3
Negeri Sembilan,toddler,01/01/2021,25,0.2
Negeri Sembilan,toddler,01/01/2022,63,0.6
Perak,toddler,01/01/2015,61,0.4
Perak,toddler,01/01/2016,63,0.4
Perak,toddler,01/01/2017,54,0.4
Perak,toddler,01/01/2018,61,0.4
Perak,toddler,01/01/2019,63,0.5
Perak,toddler,01/01/2020,43,0.3
Perak,toddler,01/01/2021,28,0.2
Perak,toddler,01/01/2022,49,0.4
Perlis,toddler,01/01/2015,3,0.2
Perlis,toddler,01/01/2016,4,0.2
Perlis,toddler,01/01/2017,5,0.3
Perlis,toddler,01/01/2018,6,0.3
Perlis,toddler,01/01/2019,6,0.3
Perlis,toddler,01/01/2020,8,0.5
Perlis,toddler,01/01/2021,8,0.5
Perlis,toddler,01/01/2022,9,0.6
Pulau Pinang,toddler,01/01/2015,26,0.3
Pulau Pinang,toddler,01/01/2016,33,0.4
Pulau Pinang,toddler,01/01/2017,25,0.3
Pulau Pinang,toddler,01/01/2018,25,0.3
Pulau Pinang,toddler,01/01/2019,20,0.2
Pulau Pinang,toddler,01/01/2020,20,0.2
Pulau Pinang,toddler,01/01/2021,15,0.2
Pulau Pinang,toddler,01/01/2022,23,0.3
Sabah,toddler,01/01/2015,152,0.6
Sabah,toddler,01/01/2016,79,0.3
Sabah,toddler,01/01/2017,150,0.6
Sabah,toddler,01/01/2018,137,0.6
Sabah,toddler,01/01/2019,115,0.5
Sabah,toddler,01/01/2020,139,0.6
Sabah,toddler,01/01/2021,125,0.5
Sabah,toddler,01/01/2022,130,0.6
Sarawak,toddler,01/01/2015,53,0.3
Sarawak,toddler,01/01/2016,55,0.3
Sarawak,toddler,01/01/2017,58,0.4
Sarawak,toddler,01/01/2018,85,0.5
Sarawak,toddler,01/01/2019,54,0.4
Sarawak,toddler,01/01/2020,53,0.4
Sarawak,toddler,01/01/2021,43,0.4
Sarawak,toddler,01/01/2022,61,0.5
Selangor,toddler,01/01/2015,128,0.3
Selangor,toddler,01/01/2016,133,0.3
Selangor,toddler,01/01/2017,132,0.3
Selangor,toddler,01/01/2018,135,0.3
Selangor,toddler,01/01/2019,143,0.3
Selangor,toddler,01/01/2020,94,0.2
Selangor,toddler,01/01/2021,94,0.2
Selangor,toddler,01/01/2022,116,0.3
Terengganu,toddler,01/01/2015,47,0.5
Terengganu,toddler,01/01/2016,37,0.4
Terengganu,toddler,01/01/2017,37,0.4
Terengganu,toddler,01/01/2018,34,0.3
Terengganu,toddler,01/01/2019,25,0.2
Terengganu,toddler,01/01/2020,31,0.4
Terengganu,toddler,01/01/2021,32,0.4
Terengganu,toddler,01/01/2022,50,0.6
W.P. Kuala Lumpur,toddler,01/01/2015,27,0.3
W.P. Kuala Lumpur,toddler,01/01/2016,32,0.3
W.P. Kuala Lumpur,toddler,01/01/2017,30,0.3
W.P. Kuala Lumpur,toddler,01/01/2018,27,0.3
W.P. Kuala Lumpur,toddler,01/01/2019,20,0.2
W.P. Kuala Lumpur,toddler,01/01/2020,19,0.2
W.P. Kuala Lumpur,toddler,01/01/2021,14,0.1
W.P. Kuala Lumpur,toddler,01/01/2022,31,0.3
W.P. Labuan,toddler,01/01/2015,1,0.1
W.P. Labuan,toddler,01/01/2016,3,0.4
W.P. Labuan,toddler,01/01/2017,0,0
W.P. Labuan,toddler,01/01/2018,1,0.1
W.P. Labuan,toddler,01/01/2019,6,0.8
W.P. Labuan,toddler,01/01/2020,3,0.4
W.P. Labuan,toddler,01/01/2021,6,0.7
W.P. Labuan,toddler,01/01/2022,3,0.4
W.P. Putrajaya,toddler,01/01/2015,5,0.4
W.P. Putrajaya,toddler,01/01/2016,7,0.6
W.P. Putrajaya,toddler,01/01/2017,2,0.2
W.P. Putrajaya,toddler,01/01/2018,5,0.4
W.P. Putrajaya,toddler,01/01/2019,2,0.2
W.P. Putrajaya,toddler,01/01/2020,2,0.2
W.P. Putrajaya,toddler,01/01/2021,0,0
W.P. Putrajaya,toddler,01/01/2022,2,0.2
