state,type,date,sex,abs,rate
Pulau Pinang,infant,2021-01-01,both,100,5.3847396478380265
Sabah,infant,2021-01-01,both,374,8.988656027686984
Sarawak,infant,2021-01-01,both,152,4.860267314702308
Selangor,infant,2021-01-01,both,402,4.4608180385716505
Terengganu,infant,2021-01-01,both,167,6.340889243269925
W.P. Kuala Lumpur,infant,2021-01-01,both,116,5.5117361969020235
W.P. Labuan,infant,2021-01-01,both,9,5.913272010512484
W.P. Putrajaya,infant,2021-01-01,both,13,6.172839506172839
Johor,infant,2021-01-01,male,191,7.42959390073129
Kedah,infant,2021-01-01,male,110,6.458431188351339
Kelantan,infant,2021-01-01,male,145,8.115066039847774
Melaka,infant,2021-01-01,male,50,7.339988256018791
Negeri Sembilan,infant,2021-01-01,male,52,5.961251862891207
Pahang,infant,2021-01-01,male,78,6.178707224334601
Perak,infant,2021-01-01,male,104,6.599822312476203
Perlis,infant,2021-01-01,male,12,5.58659217877095
Pulau Pinang,infant,2021-01-01,male,57,5.993690851735016
Sabah,infant,2021-01-01,male,196,9.0976606015596
Sarawak,infant,2021-01-01,male,81,5.042958535674262
Selangor,infant,2021-01-01,male,217,4.652858184313221
Terengganu,infant,2021-01-01,male,86,6.30868544600939
W.P. Kuala Lumpur,infant,2021-01-01,male,68,6.186317321688501
W.P. Labuan,infant,2021-01-01,male,8,10.596026490066226
W.P. Putrajaya,infant,2021-01-01,male,8,7.339449541284404
Johor,infant,2021-01-01,female,152,6.259780907668231
Kedah,infant,2021-01-01,female,93,5.809595202398801
Kelantan,infant,2021-01-01,female,104,6.15530303030303
Melaka,infant,2021-01-01,female,44,6.896551724137931
Negeri Sembilan,infant,2021-01-01,female,59,7.325552520486714
Pahang,infant,2021-01-01,female,70,5.890768324497181
Perak,infant,2021-01-01,female,88,5.844069597556116
Perlis,infant,2021-01-01,female,19,9.854771784232366
Pulau Pinang,infant,2021-01-01,female,43,4.745613066990399
Sabah,infant,2021-01-01,female,178,8.871610845295056
Sarawak,infant,2021-01-01,female,71,4.667367867473048
Selangor,infant,2021-01-01,female,185,4.254829806807727
Terengganu,infant,2021-01-01,female,81,6.375442739079103
W.P. Kuala Lumpur,infant,2021-01-01,female,48,4.774219216232345
W.P. Labuan,infant,2021-01-01,female,1,1.303780964797914
W.P. Putrajaya,infant,2021-01-01,female,5,4.921259842519685
Johor,infant,2022-01-01,both,323,6.7
Kedah,infant,2022-01-01,both,193,6.3
Kelantan,infant,2022-01-01,both,264,7.8
Melaka,infant,2022-01-01,both,88,6.7
Negeri Sembilan,infant,2022-01-01,both,99,6.2
Pahang,infant,2022-01-01,both,164,7.0
Perak,infant,2022-01-01,both,216,7.3
Perlis,infant,2022-01-01,both,35,9.3
Pulau Pinang,infant,2022-01-01,both,102,5.8
Sabah,infant,2022-01-01,both,392,9.0
Sarawak,infant,2022-01-01,both,183,5.9
Selangor,infant,2022-01-01,both,495,5.9
Terengganu,infant,2022-01-01,both,167,6.6
W.P. Kuala Lumpur,infant,2022-01-01,both,122,6.1
W.P. Labuan,infant,2022-01-01,both,13,9.5
W.P. Putrajaya,infant,2022-01-01,both,15,8.2
Johor,infant,2022-01-01,male,178,7.2
Kedah,infant,2022-01-01,male,98,6.2
Kelantan,infant,2022-01-01,male,158,9.0
Melaka,infant,2022-01-01,male,54,8.0
Negeri Sembilan,infant,2022-01-01,male,55,6.5
Pahang,infant,2022-01-01,male,89,7.3
Perak,infant,2022-01-01,male,123,8.1
Perlis,infant,2022-01-01,male,23,11.7
Pulau Pinang,infant,2022-01-01,male,60,6.6
Sabah,infant,2022-01-01,male,222,9.9
Sarawak,infant,2022-01-01,male,100,6.3
Selangor,infant,2022-01-01,male,283,6.5
